schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,56532932017376022,e8fac29b3a2e7983db1bb37a34e83de3942dc5d9a6902a5663ee20de1defa040,"1,4","5,1",grid7,7,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,16978793991481814947,e5320e0d0751696c8d6c3e0be9d119edb984562f48b1b79951ff3ffd3338b851,"1,5","2,2",grid7,7,14,35,SURVIVAL,0,35,6,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,4902912703780515698,a967526372319a8e78709669524491c2fe5fabb64c5a73e59d7dff92fb4db965,"6,0","1,6",grid7,7,14,35,SURVIVAL,0,35,5,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,2641924777248849796,7b9d675f57d683e89e99033a8423fc79db1318be89c36cd6a7bf24093d10ea07,"6,0","6,1",grid7,7,14,35,CAPTURE,1,5,2,20,5
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,14617239932871170910,924d6cd27c8cf7a05866b8a052175af8bb642fd754fcc9d251a6fb15b4e25083,"1,6","1,3",grid7,7,14,35,CAPTURE,1,3,1,20,5
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,16627751628749857540,9f62e47dbc60aa403a162256b8d952507df6b5ff8fd91b2479eb33ecbe66e714,"5,3","4,5",grid7,7,14,35,SURVIVAL,0,35,7,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,16392670541353157348,e50bfa62e47b4f0bc3a6c0691c24562ee649a5e1c8e124d0c0d382324b844f1d,"1,0","5,2",grid7,7,14,35,SURVIVAL,0,35,7,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,17100173884268704506,7f466840d34178f43706515e1ca35f2a4d69f4d09e599680a9f45471bab51b7e,"6,1","4,0",grid7,7,14,35,SURVIVAL,0,35,2,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,17081151888433354409,1336c9d522899368bb3a418424bd5b90b41164ba90f9e366d6833c78cc040b1f,"5,1","3,3",grid7,7,14,35,SURVIVAL,0,35,1,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,9124484903177292308,f3f1908c2525590db5da5ce9f608a7025e108a5fa60bce83a8c4cfb7d861a8f7,"2,0","5,0",grid7,7,14,35,SURVIVAL,0,35,6,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,CompetitiveStrategy,c708d903ecf7ceea764743cffa53a88762162e75c66de005c230e6e3ed000fe5,random_legal,stress,12739775652440895604,e5a84b26f73c8f4f1df9bb909a23f9166078d6b784c7383a58fcbb4be9a57d19,"3,4","2,6",grid7,7,14,35,SURVIVAL,0,35,6,5,10
