schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,adversarial_corner,development,13013043562567418088,0020da0640d04032f0683b1669ce72ffc41b068e7c50420d77b16d62ed291198,"2,6","0,0",grid7-quota22,7,22,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,random_legal,development,1111695869247148952,004f642a4f316e97e5c9b805e2d8e42584e8aef537ece0fe97cbbe8d11192551,"0,1","2,3",grid9,9,14,35,SURVIVAL,0,35,12,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,6476895868042627562,0053e24ecfa43487870f731ae1c7ea833e787089fc2f977918663dd2b8146ec2,"6,0","0,6",grid7-quota22,7,22,35,SURVIVAL,0,35,2,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,barrier_aware,development,1290649954215071610,00afe9a71d063c8e5bf98cb084feb3dbb3214d5dead2209d8ab4974759629afb,"10,2","0,6",grid11,11,14,35,SURVIVAL,0,35,0,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,8423549128812418912,00b862e89fdfe6e07885f43537152e7af54c28484e9362eb344aa534839d9695,"2,6","2,4",grid7,7,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,4364154954627974050,00c5017327e77e33671076aa978f56147d1dea014a2eba0486d8cae66d2ae54b,"2,7","5,5",grid11,11,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,2237896390146543214,00e88bae99807b4fd5066c3910baed666a960877d6ec02560a17f019683a5b7e,"8,6","8,8",grid9-horizon45,9,14,45,SURVIVAL,0,45,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,1111695869247148952,0116b9622ee7a7b615cce6acdc8aad912b0185f56651d1feb84ae3f3fd7ae1c3,"5,2","9,4",grid11,11,14,35,SURVIVAL,0,35,0,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,14856065457030039218,017d0a9493196534e404bc9004be19556311c6376473a767453e2c175a9d4bf6,"0,1","2,0",grid9-horizon45,9,14,45,CAPTURE,1,2,1,20,5
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C4-ablation,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,barrier_aware,development,12567997756000179217,01b1b772e24de96f81535cf5ab84f6d5c233f0a0a52c6350561f16f6a9d66ea8,"2,6","2,1",grid7,7,14,35,SURVIVAL,0,35,4,5,10
