schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,random_legal,development,1111695869247148952,004f642a4f316e97e5c9b805e2d8e42584e8aef537ece0fe97cbbe8d11192551,"0,1","2,3",grid9,9,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,1111695869247148952,0116b9622ee7a7b615cce6acdc8aad912b0185f56651d1feb84ae3f3fd7ae1c3,"5,2","9,4",grid11,11,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,9560056164909575715,0211857a0263605253d70b415f25970c1aabbb610be561e924f6736cccaace0c,"4,6","7,2",grid9,9,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,barrier_aware,development,7459480656892310933,02567ca9d366f55a3de26c8a1232336971a685d12c2ac721d13a5654ef8ea49d,"2,2","4,0",grid7,7,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,17414075059470156493,02b8aff141fc815c9b08fe0ce83c8ade7b12dadc87bc5d5cb3a16042334cbd02,"6,4","0,2",grid7,7,14,35,SURVIVAL,0,35,2,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,15452741310026791750,02da11574031b22380a0a1fc9809f3fb25abd66084e2163050980e68950f37f1,"8,3","5,6",grid9,9,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,17901447736580998635,033b040fd1516e69c786fabd426ec5bc534a5faaae5ae3925005bb5239036656,"0,3","1,1",grid7-quota22,7,22,35,CAPTURE,1,2,1,20,5
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,random_legal,development,2436346155132372862,063519f3f5517729508d529e36863a0862908d740289558e72e242ff6743330c,"4,1","6,6",grid7,7,14,35,SURVIVAL,0,35,2,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,12403128132904351122,0665e39b199022c66c869db3f42669e34ed044c252b0d21fbcfc79507cba238d,"6,6","3,6",grid7,7,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,18414347572143683132,067230d41a792e9b64f497cc62048b786d715ba69483a0dc2344c92810c529c3,"7,1","1,3",grid9,9,14,35,SURVIVAL,0,35,2,5,10
